id,indexs,stock,spread,,,,,,,,,,,,
161,10836.5,2.78,3898.021583,,,,,,,,,,,,
162,10836,2.78,3897.841727,,,,,,,,,,,,
163,10829,2.79,3881.362007,,,,,,,,,,,,
164,10829,2.79,3881.362007,,,,,,,,,,,,
165,10834,2.79,3883.154122,,,,,,,,,,,,
166,10834,2.79,3883.154122,,,,,,,,,,,,
167,10829,2.79,3881.362007,,,,,,,,,,,,
168,10831,2.79,3882.078853,,,,,,,,,,,,
169,10831.5,2.79,3882.258065,,,,,,,,,,,,
170,10831.5,2.79,3882.258065,,,,,,,,,,,,
171,10836,2.79,3883.870968,,,,,,,,,,,,
172,10836,2.79,3883.870968,,,,,,,,,,,,
173,10849,2.79,3888.530466,,,,,,,,,,,,
174,10849,2.79,3888.530466,,,,,,,,,,,,
175,10864,2.79,3893.90681,,,,,,,,,,,,
176,10861.5,2.79,3893.010753,,,,,,,,,,,,
177,10855.5,2.79,3890.860215,,,,,,,,,,,,
178,10855.5,2.79,3890.860215,,,,,,,,,,,,
179,10861.5,2.79,3893.010753,,,,,,,,,,,,
180,10861.5,2.79,3893.010753,,,,,,,,,,,,
181,10865.5,2.79,3894.444444,,,,,,,,,,,,
182,10865.5,2.79,3894.444444,,,,,,,,,,,,
183,10866.5,2.79,3894.802867,,,,,,,,,,,,
184,10871,2.79,3896.415771,,,,,,,,,,,,
185,10871,2.79,3896.415771,,,,,,,,,,,,
186,10869,2.79,3895.698925,,,,,,,,,,,,
187,10869,2.79,3895.698925,,,,,,,,,,,,
188,10866.5,2.79,3894.802867,,,,,,,,,,,,
189,10866.5,2.79,3894.802867,,,,,,,,,,,,
190,10866,2.79,3894.623656,,,,,,,,,,,,
191,10866,2.79,3894.623656,,,,,,,,,,,,
192,10876.5,2.79,3898.387097,,,,,,,,,,,,
193,10876.5,2.79,3898.387097,,,,,,,,,,,,
194,10879,2.79,3899.283154,,,,,,,,,,,,
195,10880,2.79,3899.641577,,,,,,,,,,,,
196,10880,2.79,3899.641577,,,,,,,,,,,,
197,10881,2.78,3914.028777,,,,,,,,,,,,
198,10881,2.78,3914.028777,,,,,,,,,,,,
199,10884,2.78,3915.107914,,,,,,,,,,,,
200,10884,2.78,3915.107914,,,,,,,,,,,,
201,10879,2.78,3913.309353,,,,,,,,,,,,
202,10879,2.78,3913.309353,,,,,,,,,,,,
203,10884,2.78,3915.107914,,,,,,,,,,,,
204,10892.5,2.78,3918.165468,,,,,,,,,,,,
205,10892.5,2.78,3918.165468,,,,,,,,,,,,
206,10914,2.78,3925.899281,,,,,,,,,,,,
207,10914,2.78,3925.899281,,,,,,,,,,,,
208,10911.5,2.78,3925,,,,,,,,,,,,
209,10917.5,2.78,3927.158273,,,,,,,,,,,,
210,10917.5,2.78,3927.158273,,,,,,,,,,,,
211,10916,2.78,3926.618705,,,,,,,,,,,,
212,10914,2.78,3925.899281,,,,,,,,,,,,
213,10914,2.78,3925.899281,,,,,,,,,,,,
214,10914,2.78,3925.899281,,,,,,,,,,,,
215,10914,2.78,3925.899281,,,,,,,,,,,,
216,10906,2.78,3923.021583,,,,,,,,,,,,
217,10906,2.78,3923.021583,,,,,,,,,,,,
218,10906.5,2.78,3923.201439,,,,,,,,,,,,
219,10906,2.78,3923.021583,,,,,,,,,,,,
220,10906,2.78,3923.021583,,,,,,,,,,,,
221,10914,2.78,3925.899281,,,,,,,,,,,,
222,10916,2.78,3926.618705,,,,,,,,,,,,
223,10916,2.78,3926.618705,,,,,,,,,,,,
224,10919,2.78,3927.697842,,,,,,,,,,,,
225,10919,2.78,3927.697842,,,,,,,,,,,,
226,10914,2.78,3925.899281,,,,,,,,,,,,
227,10914,2.78,3925.899281,,,,,,,,,,,,
228,10921.5,2.78,3928.597122,,,,,,,,,,,,
229,10921.5,2.78,3928.597122,,,,,,,,,,,,
230,10919,2.78,3927.697842,,,,,,,,,,,,
231,10921.5,2.78,3928.597122,,,,,,,,,,,,
232,10921.5,2.78,3928.597122,,,,,,,,,,,,
